 
c0f98ad95c0caf1aab7f1b930e3fdd15ac7c4aa4dcadd34d0a29922970249648,Speech Dataset/speech_1.mp3,The weather is scattered clouds and it's 10.17 degrees Celsius.
85d5ac8656069910c697b6ece5d5637ed1d8881861ccb7d1e29844f8e40dea19,Speech Dataset/speech_2.mp3,It's safe to drive. Please be careful on the road.
111589b911ec55beb9a2425a6f2b49ccf08d3bd5aad139c6dd5193016726022f,Speech Dataset/speech_3.mp3,The weather is few clouds and it's 9.43 degrees Celsius.
8276c4a0cd9af98a6f0c4546cbc17170f52fb6a72ed1b8ecdf8a437ebbb8fcb7,Speech Dataset/speech_4.mp3,"Hello, how can I help you today?"
a241a1e59b0d15e2c8724a9cd3e672efbb2b21cd6966d0fa16a6a98522661bb0,Speech Dataset/speech_5.mp3,Please wait while I process your request...
7a15a600c886501787f87bc4320a3836f1fe0199564a7ad73c54581548c35520,Speech Dataset/speech_6.mp3,Please wait while I retrieve the time information...
acd48498ae3ab93447c9be9ddf686848e08b71a5840e0b81d227c4437291d882,Speech Dataset/speech_7.mp3,The current time is 12:41 AM.
b805abf9fdcc7d0017d39a10b3e904318b7786ab2bec1dad766cafc9b76863e6,Speech Dataset/speech_8.mp3,Please wait while I retrieve the date information...
1f136408530e66a906b5dba9812e661efdfafaac77b20a8d13bec4531095fea8,Speech Dataset/speech_9.mp3,"Today's date is Thursday, February 16, 2023."
0edabb3ed7bed394c68d096df0d37db1ef4439baf2f79a6014738893eb1b8181,Speech Dataset/speech_10.mp3,Please wait while I retrieve the weather information...
92ded7e351117a2a648c675c81bced1235f145758a5737bcdea68ede9ca99cd6,Speech Dataset/speech_11.mp3,The weather is partly cloudy and it's 10 degrees Celsius.
494c83c031a27cc8dbfcbab44a018ec40d2087a3e9b368390ff45f2ae4872004,Speech Dataset/speech_12.mp3,"I'm sorry, I didn't understand your request. Please try again."
df1a609ef4b5646191ddb12818c79fe2190d0ec632042a2276981db839cbf1fd,Speech Dataset/speech_13.mp3,"Car safety is a very important topic. When driving, you should always wear your seatbelt and obey traffic laws. You should also maintain your vehicle and keep it in good condition. In addition, you should avoid distractions such as using your phone or eating while driving. Finally, you should always drive defensively and be prepared for unexpected situations on the road."
